epoch,accuracy
1,0.670000
2,0.706500
3,0.727000
4,0.745500
5,0.749500
6,0.749500
7,0.760000
8,0.779000
9,0.779000
10,0.796000
11,0.803500
12,0.817000
13,0.828500
14,0.839500
15,0.842000
16,0.784000
17,0.766000
18,0.793500
19,0.787500
20,0.806000
21,0.818500
22,0.816000
23,0.829500
24,0.786500
25,0.815500
26,0.843500
27,0.762000
28,0.764000
29,0.807000
30,0.813000
31,0.834000
32,0.802500
33,0.798000
34,0.738000
35,0.763500
36,0.744000
37,0.743500
38,0.794000
39,0.817500
40,0.835000
