1,8,1,0.465189
1,8,2,0.533365
1,8,3,0.343291
1,8,4,0.333414
1,8,5,0.348591
1,8,6,0.345700
1,8,7,0.348832
1,8,8,0.336545
1,8,9,0.352927
1,8,10,0.337268
1,8,11,0.332450
1,8,12,0.333655
1,8,13,0.345700
1,8,14,0.343291
1,8,15,0.340882
2,8,1,0.469766
2,8,2,0.423272
2,8,3,0.324982
2,8,4,0.350036
2,8,5,0.331486
2,8,6,0.333173
2,8,7,0.350277
2,8,8,0.332209
2,8,9,0.343532
2,8,10,0.329800
2,8,11,0.337268
2,8,12,0.343291
2,8,13,0.337268
2,8,14,0.345941
2,8,15,0.330523
3,8,1,0.470730
3,8,2,0.591424
3,8,3,0.594556
3,8,4,0.334618
3,8,5,0.340641
3,8,6,0.340159
3,8,7,0.333414
3,8,8,0.339436
3,8,9,0.343532
3,8,10,0.339677
3,8,11,0.350036
3,8,12,0.323536
3,8,13,0.350277
3,8,14,0.325223
3,8,15,0.356300
4,8,1,0.455553
4,8,2,0.599855
4,8,3,0.606360
4,8,4,0.638882
4,8,5,0.622019
4,8,6,0.632619
4,8,7,0.379427
4,8,8,0.330764
4,8,9,0.347868
4,8,10,0.337509
4,8,11,0.341845
4,8,12,0.341845
4,8,13,0.347386
4,8,14,0.341604
4,8,15,0.342086
5,8,1,0.455794
5,8,2,0.490243
5,8,3,0.343773
5,8,4,0.334136
5,8,5,0.350759
5,8,6,0.335582
5,8,7,0.344977
5,8,8,0.354372
5,8,9,0.327873
5,8,10,0.332450
5,8,11,0.338954
5,8,12,0.330523
5,8,13,0.335100
5,8,14,0.338473
5,8,15,0.347627
6,8,1,0.468080
6,8,2,0.600578
6,8,3,0.351722
6,8,4,0.333895
6,8,5,0.361118
6,8,6,0.342809
6,8,7,0.321609
6,8,8,0.337991
6,8,9,0.336786
6,8,10,0.337991
6,8,11,0.345459
6,8,12,0.339195
6,8,13,0.343532
6,8,14,0.331245
6,8,15,0.333895
7,8,1,0.471453
7,8,2,0.360154
7,8,3,0.341123
7,8,4,0.338954
7,8,5,0.340882
7,8,6,0.349554
7,8,7,0.333895
7,8,8,0.338714
7,8,9,0.335341
7,8,10,0.345218
7,8,11,0.347386
7,8,12,0.330282
7,8,13,0.342327
7,8,14,0.336545
7,8,15,0.333173
8,8,1,0.453144
8,8,2,0.536497
8,8,3,0.322814
8,8,4,0.338954
8,8,5,0.339436
8,8,6,0.342327
8,8,7,0.345459
8,8,8,0.334377
8,8,9,0.346663
8,8,10,0.333655
8,8,11,0.351000
8,8,12,0.360636
8,8,13,0.346904
8,8,14,0.332450
8,8,15,0.343773
9,8,1,0.474344
9,8,2,0.586124
9,8,3,0.493857
9,8,4,0.350518
9,8,5,0.331968
9,8,6,0.331245
9,8,7,0.351241
9,8,8,0.344977
9,8,9,0.344013
9,8,10,0.339436
9,8,11,0.345700
9,8,12,0.330764
9,8,13,0.339436
9,8,14,0.348350
9,8,15,0.325464
10,8,1,0.466635
10,8,2,0.557697
10,8,3,0.601060
10,8,4,0.613587
10,8,5,0.336545
10,8,6,0.355095
10,8,7,0.328114
10,8,8,0.325946
10,8,9,0.327391
10,8,10,0.336786
10,8,11,0.347868
10,8,12,0.331727
10,8,13,0.332691
10,8,14,0.342809
10,8,15,0.346904
